prot_barcode,bar_intensity,bar_width,bar_height,bar_speed,ca
5619,0,2,2,400,0.452280176150854
5620,0,4.5,2,400,0.923671994125535
5621,0,9,2,400,1.24392481274353
5622,0,15,2,400,0.889643101694929
5623,0,30,2,400,0.10368218679014
5624,0,45,2,400,0.0967838288009886
5625,0,90,2,400,0.096783828795262
5626,0,2,4.5,400,0.661445773592555
5627,0,4.5,4.5,400,1.21424603785716
5628,0,9,4.5,400,1.37620214337044
5629,0,15,4.5,400,0.423651162973088
5630,0,30,4.5,400,0.125784645491959
5631,0,45,4.5,400,0.116116780961335
5632,0,90,4.5,400,0.116116780935899
5633,0,2,9,400,0.390030384215543
5634,0,4.5,9,400,0.575532981658365
5635,0,9,9,400,0.703753528935947
5636,0,15,9,400,0.601377097392394
5637,0,30,9,400,0.105337499674633
5638,0,45,9,400,0
5639,0,90,9,400,0
5640,0,2,15,400,0.353341420036199
5641,0,4.5,15,400,0.464130390310594
5642,0,9,15,400,0.530033883758703
5643,0,15,15,400,0.47901614579283
5644,0,30,15,400,0
5645,0,45,15,400,0
5646,0,90,15,400,0
5647,0,2,30,400,0.339264616070159
5648,0,4.5,30,400,0.354421521242586
5649,0,9,30,400,0
5650,0,15,30,400,0
5651,0,30,30,400,0
5652,0,45,30,400,0
5653,0,90,30,400,0
5654,0,2,45,400,0.0100196877607227
5655,0,4.5,45,400,0
5656,0,9,45,400,0
5657,0,15,45,400,0
5658,0,30,45,400,0
5659,0,45,45,400,0
5660,0,90,45,400,0
5661,0,2,90,400,0
5662,0,4.5,90,400,0
5663,0,9,90,400,0
5664,0,15,90,400,0
5665,0,30,90,400,0
5666,0,45,90,400,0
5667,0,90,90,400,0
