prot_barcode,bar_intensity,bar_width,bar_height,bar_speed,ca,on_fast,off_fast,column_out,on_fast_ca,off_fast_ca,column_out_ca
1,1,0.5,4.5,75,0.0630749792755156,0.00456837336850217,0.00247939006349096,3.33732661184725e-05,0.00089938699081827,0.0005906426268519,1.49201087050614e-06
2,1,1,4.5,75,0.231266842839319,0.00572567413285827,0.00354743808823087,0.000109342014667346,0.000992832483063009,0.000750454263121961,5.46380804635016e-06
3,1,1.5,4.5,75,0.345464222163076,0.00646399861695896,0.00429205641978305,0.000151791312029084,0.00104066102247047,0.000835651919695241,8.05944304253728e-06
4,1,2,4.5,75,0.419265026008342,0.00695448518185365,0.00482631521590848,0.000176403004010512,0.00107073837792755,0.000890920237126796,9.73039476809138e-06
5,1,2.5,4.5,75,0.455043406707028,0.00725111998670232,0.00522921684986154,0.000185639251223032,0.00108968647802382,0.000930265355572032,1.0506017500164e-05
6,1,3,4.5,75,0.468191077790925,0.00739780774561836,0.00556521615506978,0.000190487627276108,0.00110116225984609,0.00096098832052349,1.07684894894998e-05
7,1,3.5,4.5,75,0.45701004281535,0.00750898269579095,0.0058963931693893,0.000186020112973378,0.00110574780968955,0.000984832143709263,1.04535572550017e-05
8,1,4,4.5,75,0.437137380063285,0.00771827605955787,0.00617345686303407,0.000178178381797676,0.00112194707700273,0.00100380229972001,9.94087879879851e-06
9,1,4.5,4.5,75,0.401586073188601,0.00765960068169681,0.00637578544578112,0.000163561502599653,0.00111867886044893,0.00102181214293774,9.11632094194155e-06
10,1,5,4.5,75,0.358380193739671,0.007746658892974,0.00648517549314957,0.000146926290506131,0.00112870979592696,0.00103660394611461,8.08761603637082e-06
11,1,5.5,4.5,75,0.312664858187026,0.00782601325227485,0.00666822528320966,0.00015673294720878,0.00113644421825721,0.00104819295883299,6.96316981814927e-06
12,1,6,4.5,75,0.265492773217914,0.00768741117820361,0.00688032785804312,0.000157191131592678,0.00113865276085018,0.00105935477182237,5.7881959566202e-06
13,1,6.5,4.5,75,0.224464136261444,0.00779674422777806,0.00698066963477416,0.000160628986080894,0.00115625400974126,0.00106921569507474,4.86827500114851e-06
14,1,7,4.5,75,0.184152047459799,0.00781378830776423,0.00698273771429211,0.000148977881992042,0.00116441173746064,0.00107861947182604,3.90924561057872e-06
15,1,7.5,4.5,75,0.154663209533876,0.00775043329117401,0.00711682459969971,0.000164707745789587,0.00116865800894349,0.00108647742638698,3.19723480955914e-06
16,1,8,4.5,75,0.141272962880797,0.00781887844469501,0.00729960347434743,0.000171131798792088,0.00118477513698086,0.00109332508185242,2.8577128373483e-06
17,1,8.5,4.5,75,0.132259633538864,0.00789214297987072,0.00733794174662538,0.00017343660381696,0.00120211829148578,0.00110016246105044,2.64634504032012e-06
18,1,9,4.5,75,0.122431264017109,0.00790595561202655,0.00743698192778197,0.000149490537889761,0.00121546676059715,0.00110773548263056,2.41632788511185e-06
19,1,9.5,4.5,75,0.118805245237419,0.00785962335842851,0.00746816721684575,0.000156108655246077,0.00122431454243881,0.00111342913937628,2.43502126547253e-06
20,1,10,4.5,75,0.118647592494679,0.00770602693754487,0.0074006263663663,0.000154148914236144,0.00122237273837839,0.00111957240390261,2.31655238304028e-06
