prot_barcode,bar_intensity,bar_width,bar_height,bar_speed,ca,on_fast,off_fast,column_out,on_fast_ca,off_fast_ca,column_out_ca
1,1,0.5,4.5,75,0.0630749792755156,0.00456837336850217,0.00247939006349096,3.33732661184725e-05,0.00089938699081827,0.0005906426268519,1.49201087050614e-06
2,1,1,4.5,75,0.231266842839319,0.00572567413285827,0.00354743808823087,0.000109342014667346,0.000992832483063009,0.000750454263121961,5.46380804635016e-06
3,1,1.5,4.5,75,0.345464222163076,0.00646399861695896,0.00429205641978305,0.000151791312029084,0.00104066102247047,0.000835651919695241,8.05944304253728e-06
4,1,2,4.5,75,0.419293586993902,0.00698156854502861,0.00482631521590848,0.000176403004063251,0.00107193063546624,0.000890920237126796,9.73105186834638e-06
5,1,2.5,4.5,75,0.455162448328446,0.00733968917452794,0.00522921684986154,0.000185639251418203,0.00109414078448196,0.000930265355572032,1.05087960925065e-05
6,1,3,4.5,75,0.468509656323184,0.00765480252958604,0.00556521615506978,0.000190487627776554,0.00111191571935471,0.00096098832052349,1.07759150319165e-05
7,1,3.5,4.5,75,0.45756943582534,0.00789750735506331,0.0058963931693893,0.000186020113717412,0.00112492905958506,0.000984832143709263,1.04665131656645e-05
8,1,4,4.5,75,0.437618647633568,0.00808329759746441,0.00617345686303407,0.000178178382412839,0.00113737576056855,0.00100380229972001,9.95237963489001e-06
9,1,4.5,4.5,75,0.402478132396865,0.00832600696343493,0.00637578544578112,0.000163561503596243,0.00114571077376616,0.00102181214293774,9.13551761274487e-06
10,1,5,4.5,75,0.359285748395269,0.00834382109799332,0.00648517549314957,0.000146926291365442,0.00115569245323187,0.00103660394611461,8.10853171454578e-06
11,1,5.5,4.5,75,0.313627371785255,0.00849564115898993,0.00666822528320966,0.000157682393762986,0.00116457244315571,0.00104819295883299,6.98128572451842e-06
12,1,6,4.5,75,0.266642972249005,0.00850978114248618,0.00688032785804312,0.000158287209177258,0.00117340187265211,0.00105935477182237,5.81382949874425e-06
13,1,6.5,4.5,75,0.225363400501384,0.00841456718785944,0.00698066963477416,0.000161492040744992,0.00118386816076796,0.00106921569507474,4.88533450763008e-06
14,1,7,4.5,75,0.185032952023315,0.00846229188502419,0.00698273771429211,0.000149839251652054,0.0011926597807272,0.00107861947182604,3.9265097943102e-06
15,1,7.5,4.5,75,0.155762358359795,0.00842696777395702,0.00711682459969971,0.000165632168504253,0.00120135898255373,0.00108647742638698,3.21878790276898e-06
16,1,8,4.5,75,0.142091306212845,0.00832850634934006,0.00729960347434743,0.000171909999888661,0.0012112920948313,0.00109332508185242,2.87293019287105e-06
17,1,8.5,4.5,75,0.132875116136651,0.00829908184716477,0.00733794174662538,0.000173953607723823,0.00122110425391251,0.00110016246105044,2.65659989678125e-06
18,1,9,4.5,75,0.122926791888144,0.00827145061930108,0.00743698192778197,0.000149926154774544,0.00123049633884521,0.00110773548263056,2.42380742542026e-06
19,1,9.5,4.5,75,0.119276094740565,0.00822596649506612,0.00746816721684575,0.000156497051946528,0.00123957316743257,0.00111342913937628,2.44309518784524e-06
20,1,10,4.5,75,0.119328899615692,0.00828896245429999,0.0074006263663663,0.000154706736946385,0.00124668408346263,0.00111957240390261,2.32828036940506e-06
