prot_barcode,bar_intensity,bar_width,bar_height,bar_speed,ca,on_fast,off_fast,column_out,on_fast_ca,off_fast_ca,column_out_ca
1,1,0.5,4.5,75,0.00802990330789118,0.00456837336850217,0.00247939006349096,1.19112534428742e-05,0.00089938699081827,0.0005906426268519,1.65606497050536e-07
2,1,1,4.5,75,0.0139046674821714,0.00572567413285827,0.00354743808823087,2.35900524759456e-05,0.000992832483063009,0.000750454263121961,2.86978131003364e-07
3,1,1.5,4.5,75,0.0191289164635244,0.00646399861695896,0.00429205641978305,2.98355190083727e-05,0.00104066102247047,0.000835651919695241,3.95670073975092e-07
4,1,2,4.5,75,0.0245245652532744,0.00695448518185365,0.00482631521590848,3.89157387162579e-05,0.00107073837792755,0.000890920237126796,5.07627494805272e-07
5,1,2.5,4.5,75,0.0294173507960184,0.00725111998670232,0.00522921684986154,5.27792790302705e-05,0.00108968647802382,0.000930265355572032,6.04777327172457e-07
6,1,3,4.5,75,0.0304543580158803,0.00739780774561836,0.00556521615506978,4.75097509383459e-05,0.00110116225984609,0.00096098832052349,6.15244981911712e-07
7,1,3.5,4.5,75,0.0338202319604309,0.00750898269579095,0.0058963931693893,5.80322664232194e-05,0.00110574780968955,0.000984832143709263,6.70426390353407e-07
8,1,4,4.5,75,0.0382559690082961,0.00771827605955787,0.00617345686303407,6.68355333417784e-05,0.00112194707700273,0.00100380229972001,7.60974442444676e-07
9,1,4.5,4.5,75,0.039004940379704,0.00765960068169681,0.00637578544578112,6.45328263278772e-05,0.00111867886044893,0.00102181214293774,7.98931497268982e-07
10,1,5,4.5,75,0.0400393090516603,0.007746658892974,0.00648517549314957,6.77320290732361e-05,0.00112870979592696,0.00103660394611461,7.85983291089344e-07
11,1,5.5,4.5,75,0.0435907790278391,0.00782601325227485,0.00666822528320966,7.84541193931634e-05,0.00113644421825721,0.00104819295883299,8.64403510810765e-07
12,1,6,4.5,75,0.0452832124338778,0.00768741117820361,0.00688032785804312,7.42882875927208e-05,0.00113865276085018,0.00105935477182237,8.68690246134173e-07
13,1,6.5,4.5,75,0.0460269883738596,0.00779674422777806,0.00698066963477416,7.49589519279696e-05,0.00115625400974126,0.00106921569507474,9.11578779946471e-07
14,1,7,4.5,75,0.0456132954485728,0.00781378830776423,0.00698273771429211,7.57804082736375e-05,0.00116441173746064,0.00107861947182604,8.71973296851115e-07
15,1,7.5,4.5,75,0.048994709422861,0.00775043329117401,0.00711682459969971,8.68061156109885e-05,0.00116865800894349,0.00108647742638698,9.40238829454477e-07
16,1,8,4.5,75,0.0510757612537314,0.00781887844469501,0.00729960347434743,9.00656844007415e-05,0.00118477513698086,0.00109332508185242,9.79826988500895e-07
17,1,8.5,4.5,75,0.0523051039945137,0.00789214297987072,0.00733794174662538,8.92033716251754e-05,0.00120211829148578,0.00110016246105044,1.0154151996917e-06
18,1,9,4.5,75,0.0493311057107442,0.00790595561202655,0.00743698192778197,7.30768273883899e-05,0.00121546676059715,0.00110773548263056,9.27357092905931e-07
19,1,9.5,4.5,75,0.0493801504476309,0.00785962335842851,0.00746816721684575,8.01467633738048e-05,0.00122431454243881,0.00111342913937628,9.74266517512189e-07
20,1,10,4.5,75,0.052197678191881,0.00770602693754487,0.0074006263663663,8.72163722803997e-05,0.00122237273837839,0.00111957240390261,9.59289942051952e-07
21,1,10.5,4.5,75,0.0541040612343918,0.00744675027756461,0.00748786520811489,9.46084250237737e-05,0.00120391941814919,0.00112436116525166,1.01587824212827e-06
22,1,11,4.5,75,0.0556238743097491,0.00761664854858933,0.00766200177894925,9.74504127509263e-05,0.00120221858584635,0.00112771262344268,1.04773963406951e-06
23,1,11.5,4.5,75,0.0565425754212303,0.00762252606836153,0.00765161061414799,9.73602887027919e-05,0.00119184983400865,0.00113234737731868,1.08653460231858e-06
24,1,12,4.5,75,0.0559112494790309,0.00783381957369068,0.00761127586551584,8.22674913045092e-05,0.00119858608403541,0.00113713954676879,1.0074311943517e-06
25,1,12.5,4.5,75,0.0537760205110735,0.00801175498344444,0.00758496309259457,7.69743779343043e-05,0.00120754938141111,0.00114068422287452,9.5075229295872e-07
26,1,13,4.5,75,0.0548944441950728,0.00795759293410482,0.0077000971811353,8.23276958148131e-05,0.00120481247854874,0.00114334432826979,9.45210573688212e-07
27,1,13.5,4.5,75,0.0573933742795453,0.00790019769914229,0.0077502271565312,8.77811348971433e-05,0.00120354887561417,0.00114630286808079,1.01698378781776e-06
28,1,14,4.5,75,0.0586359922377802,0.00799410012851131,0.00766915659792946,9.37293872552789e-05,0.00121435859068275,0.00115015653457914,1.02963581975033e-06
29,1,14.5,4.5,75,0.061490480000338,0.00805410553472881,0.00772966739337737,9.87029615410061e-05,0.00122191763441132,0.00115223469991819,1.065690080317e-06
30,1,15,4.5,75,0.0632808422580048,0.0080958018740597,0.00788778652251235,0.00010172404603857,0.00122987517181659,0.00115397130502465,1.09109675269603e-06
31,1,15.5,4.5,75,0.0645559521626092,0.00808296131806838,0.0078479803587878,0.000105625787688659,0.00123384044210907,0.00115738382694645,1.11623129865119e-06
32,1,16,4.5,75,0.0624134621166935,0.00803765580607879,0.00779166907621583,9.20615996581142e-05,0.00123716511421607,0.00116011064424807,1.04753335899039e-06
33,1,16.5,4.5,75,0.0623664337074153,0.00799321273820246,0.00791958492849992,8.05055974716132e-05,0.00123986638498636,0.0011619817310658,9.97076860689223e-07
34,1,17,4.5,75,0.0631457323542303,0.00795197374706431,0.00789826867407646,8.90013960669301e-05,0.001242280550514,0.00116435239028997,1.07335755714773e-06
35,1,17.5,4.5,75,0.0602682303991704,0.00763949512569053,0.00779509545165269,8.07496620298645e-05,0.00122016476650984,0.00116715447104962,9.84660334806056e-07
36,1,18,4.5,75,0.0603764821026459,0.00766687479504352,0.00788316197929872,8.37655911664225e-05,0.00121503670023451,0.00116871974071138,9.6379589924247e-07
37,1,18.5,4.5,75,0.0628904758797884,0.00790045829629383,0.00790480948281172,8.87679407232811e-05,0.00122161301307535,0.00117013307847842,1.04094007677303e-06
38,1,19,4.5,75,0.0610796376146733,0.00797157972651527,0.00778268755581359,9.20014764254279e-05,0.00122570633198803,0.00117283829104,1.0081498181197e-06
39,1,19.5,4.5,75,0.0645247896522872,0.00798528935522593,0.00786532319307236,9.79606482650439e-05,0.00122935696531783,0.00117383674940172,1.05097275152135e-06
40,1,20,4.5,75,0.0644021287946786,0.00797291622320661,0.00794474801304554,9.93539641665659e-05,0.00123102274186802,0.00117457112749619,1.07149735310005e-06
