prot_barcode,bar_intensity,bar_width,bar_height,bar_speed,ca
1,0,4.5,4.5,75,0.959694353854647
2,0.0256410256410256,4.5,4.5,75,0.937546879021457
3,0.0512820512820513,4.5,4.5,75,0.914320023284752
4,0.0769230769230769,4.5,4.5,75,0.889867511696151
5,0.102564102564103,4.5,4.5,75,0.863994229513802
6,0.128205128205128,4.5,4.5,75,0.836461999511994
7,0.153846153846154,4.5,4.5,75,0.807013507419422
8,0.179487179487179,4.5,4.5,75,0.77536588186007
9,0.205128205128205,4.5,4.5,75,0.741179207760999
10,0.230769230769231,4.5,4.5,75,0.704028908929078
11,0.256410256410256,4.5,4.5,75,0.66341570992329
12,0.282051282051282,4.5,4.5,75,0.618664212299498
13,0.307692307692308,4.5,4.5,75,0.569067995757401
14,0.333333333333333,4.5,4.5,75,0.51326224564303
15,0.358974358974359,4.5,4.5,75,0.449488204012203
16,0.384615384615385,4.5,4.5,75,0.375998134562674
17,0.41025641025641,4.5,4.5,75,0.289697818369252
18,0.435897435897436,4.5,4.5,75,0.18760167664548
19,0.461538461538462,4.5,4.5,75,0.0735261665884272
20,0.487179487179487,4.5,4.5,75,0.00394143285409361
21,0.5,4.5,4.5,75,0
22,0.512820512820513,4.5,4.5,75,0.00398116573372877
23,0.538461538461538,4.5,4.5,75,0.013493049702478
24,0.564102564102564,4.5,4.5,75,0.0243409524872755
25,0.58974358974359,4.5,4.5,75,0.054154606635458
26,0.615384615384615,4.5,4.5,75,0.0886878343331899
27,0.641025641025641,4.5,4.5,75,0.121951490592538
28,0.666666666666667,4.5,4.5,75,0.153049889011702
29,0.692307692307692,4.5,4.5,75,0.181576297541731
30,0.717948717948718,4.5,4.5,75,0.207714394840506
31,0.743589743589744,4.5,4.5,75,0.231905681963772
32,0.769230769230769,4.5,4.5,75,0.254382350788049
33,0.794871794871795,4.5,4.5,75,0.275095449726412
34,0.82051282051282,4.5,4.5,75,0.294542439604299
35,0.846153846153846,4.5,4.5,75,0.312614580210738
36,0.871794871794872,4.5,4.5,75,0.329674367104883
37,0.897435897435897,4.5,4.5,75,0.345941765913305
38,0.923076923076923,4.5,4.5,75,0.361193675451496
39,0.948717948717949,4.5,4.5,75,0.375647621675335
40,0.974358974358974,4.5,4.5,75,0.389320981623274
41,1,4.5,4.5,75,0.402478131836498
