prot_barcode,bar_intensity,bar_width,bar_height,bar_speed,ca
1,0,0.1,4.5,100,0.00810382943274375
2,0,0.143844988828766,4.5,100,0.0528780920772103
3,0,0.206913808111479,4.5,100,0.134972932267288
4,0,0.297635144163132,4.5,100,0.142538570974957
5,0,0.428133239871939,4.5,100,0.297219752423142
6,0,0.615848211066026,4.5,100,0.432656034781154
7,0,0.885866790410083,4.5,100,0.542839773983084
8,0,1.27427498570313,4.5,100,0.710981066678446
9,0,1.83298071083244,4.5,100,0.864883048644881
10,0,2.63665089873036,4.5,100,0.96170190291991
11,0,3.79269019073225,4.5,100,0.771865599790115
12,0,5.45559478116852,4.5,100,0.243983584076061
13,0,7.84759970351461,4.5,100,0.149576312103981
14,0,11.2883789168469,4.5,100,0.141512210499702
15,0,16.2377673918872,4.5,100,0.139307039554647
16,0,23.3572146909012,4.5,100,0.11440810147038
17,0,33.5981828628378,4.5,100,0.0578086722410147
18,0,48.3293023857175,4.5,100,0.058249284350142
19,0,69.5192796177561,4.5,100,0.0579462097176518
20,0,100,4.5,100,0.0578041014331464
